bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1007840041.00000000,450 7 AVENUE,491253,1930,450 7TH AVE ASSCTS,P,40.7514629,-73.9907531,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/41,True,MTGE,Mortgage,,2500000,,Document ID: FT_1950000258995,FT_1950000258995,PA,450 7 AVENUE
1007870059.00000000,230 WEST 38 STREET,137887,1923,JLJ BRICKEN LLC,,40.7538014,-73.9900273,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/59,True,MTGE,Mortgage,2013-12-05T00:00:00.000,25000000,2013000520932,CRFN: 2013000520932,2013121100732001,OF,230 WEST 38 STREET
1007870001.00000000,540 8 AVENUE,225858,1925,265 W 37 OWNER LLC,,40.7541446,-73.9916262,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/1,True,MTGE,Mortgage,2021-01-14T00:00:00.000,5400000.00,2021000060011,CRFN: 2021000060011,2021012601096005,OF,540 8 AVENUE
1007870084.00000000,554 8 AVENUE,255696,1924,270 REALTY LLC,,40.7543696,-73.9913952,6,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/84,True,MTGE,Mortgage,,147550.41,,Document ID: FT_1790006238779,FT_1790006238779,PA,554 8 AVENUE
1007880019.00000000,247 WEST 38 STREET,130010,1924,247 WEST 38 LLC,,40.7544354,-73.9903918,6,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/19,True,MTGE,Mortgage,,1300000,,Document ID: FT_1890007258289,FT_1890007258289,PA,247 WEST 38 STREET
1007880011.00000000,263 WEST 38 STREET,146377,1925,263 WEST 38TH STREET ASSOCIATES LLC,,40.7546331,-73.9908574,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/11,True,MTGE,Mortgage,2020-03-12T00:00:00.000,7000000.00,2020000099875,CRFN: 2020000099875,2020031800846001,CR,263 WEST 38 STREET
1007880073.00000000,250 WEST 39 STREET,181921,1926,"250 WEST 39TH STREET, INC.",,40.7547236,-73.9903232,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/73,True,MTGE,Mortgage,,17400000,,Document ID: FT_1930007444493,FT_1930007444493,PA,250 WEST 39 STREET
1007890009.00000000,257 WEST 39 STREET,177975,1925,BERDAR EQUITIES LLC,,40.7552369,-73.9903736,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/9,True,MTGE,Mortgage,,1497311.85,,Document ID: FT_1700000054270,FT_1700000054270,PA,257 WEST 39 STREET
1007880078.00000000,260 WEST 39 STREET,154516,1926,WEST 39-260 REALTY,,40.7548746,-73.9906805,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/78,True,MTGE,Mortgage,,435000,,Document ID: FT_1890000210789,FT_1890000210789,PA,260 WEST 39 STREET
1007890014.00000000,251 WEST 39 STREET,108025,1925,"UNG 1 REALTY, LLC",,40.7551024,-73.9900524,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/14,True,MTGE,Mortgage,2020-09-11T00:00:00.000,500000.00,2020000270414,CRFN: 2020000270414,2020092500578002,CR,251 WEST 39 STREET
